2025-12-07 14:41:43 UTC | himanshu1001 | navigate | /correlation_heatmap_data | GET request
2025-12-07 14:42:19 UTC | himanshu1001 | navigate | /correlation_heatmap_data | GET request
2025-12-07 14:42:36 UTC | himanshu1001 | navigate | /validation | GET request
2025-12-07 14:42:36 UTC | himanshu1001 | view_validation | /validation | status=PASS
2025-12-07 14:42:55 UTC | himanshu1001 | navigate | /comparison | GET request
2025-12-07 14:42:55 UTC | himanshu1001 | navigate | /metrics_json | GET request
2025-12-07 14:42:55 UTC | himanshu1001 | navigate | /gc_distribution_data | GET request
2025-12-07 14:42:55 UTC | himanshu1001 | navigate | /embedding_pca_data | GET request
2025-12-07 14:42:55 UTC | himanshu1001 | navigate | /correlation_heatmap_data | GET request
2025-12-09 06:35:07 UTC | himanshu1001 | login_success | /login | User logged in
2025-12-09 06:35:14 UTC | himanshu1001 | navigate | /verification | GET request
2025-12-09 06:35:14 UTC | himanshu1001 | view_verification | /verification | status=PASS
2025-12-09 06:35:22 UTC | himanshu1001 | navigate | /validation | GET request
2025-12-09 06:35:23 UTC | himanshu1001 | view_validation | /validation | status=PASS
2025-12-09 06:37:00 UTC | himanshu1001 | navigate | /verification | GET request
2025-12-09 06:37:00 UTC | himanshu1001 | view_verification | /verification | status=PASS
2025-12-09 06:37:17 UTC | himanshu1001 | navigate | /validation | GET request
2025-12-09 06:37:17 UTC | himanshu1001 | view_validation | /validation | status=PASS
2025-12-09 06:38:08 UTC | himanshu1001 | logout | /logout | User logged out
2025-12-09 06:40:14 UTC | Krati | register | /register | New account created
2025-12-09 06:41:02 UTC | krati | login_failed | /login | Invalid credentials
2025-12-09 06:41:24 UTC | kushagra1 | login_failed | /login | Invalid credentials
2025-12-09 06:41:52 UTC | Kushagra1 | login_failed | /login | Invalid credentials
2025-12-09 06:42:30 UTC | Kushagra1 | login_success | /login | User logged in
2025-12-09 06:42:44 UTC | Kushagra1 | logout | /logout | User logged out
2025-12-09 06:42:48 UTC | Kushagra1 | login_success | /login | User logged in
2025-12-09 06:43:12 UTC | Kushagra1 | logout | /logout | User logged out
2025-12-09 06:49:20 UTC | krati | register_failed | /register | Username already exists
2025-12-09 07:00:33 UTC | himanshu1001 | login_failed | /login | Missing OTP
2025-12-09 07:08:55 UTC | himanshu1001 | login_success | /login | User logged in
2025-12-09 07:09:00 UTC | himanshu1001 | logout | /logout | User logged out
2025-12-09 07:10:47 UTC | Bhumi | register_failed | /register | OTP verification is required. Please request and enter the OTP sent to your phone.
2025-12-09 07:13:26 UTC | himanshu1001 | login_success | /login | User logged in
2025-12-09 07:14:02 UTC | himanshu1001 | logout | /logout | User logged out
2025-12-09 07:14:02 UTC | himanshu1001 | logout | /logout | User logged out
2025-12-09 07:14:02 UTC | himanshu1001 | logout | /logout | User logged out
2025-12-09 07:14:02 UTC | himanshu1001 | logout | /logout | User logged out
2025-12-09 07:15:09 UTC | Bhumi | register | /register | New account created
2025-12-09 07:15:17 UTC | Bhumi | login_success | /login | User logged in
2025-12-09 07:15:26 UTC | Bhumi | logout | /logout | User logged out
2025-12-09 07:24:47 UTC | Bhumi | login_success | /login | User logged in
2025-12-09 07:24:56 UTC | Bhumi | navigate | /generator | GET request
2025-12-09 07:25:25 UTC | Bhumi | navigate | /comparison | GET request
2025-12-09 07:25:25 UTC | Bhumi | navigate | /metrics_json | GET request
2025-12-09 07:25:25 UTC | Bhumi | navigate | /gc_distribution_data | GET request
2025-12-09 07:25:25 UTC | Bhumi | navigate | /embedding_pca_data | GET request
2025-12-09 07:25:25 UTC | Bhumi | navigate | /correlation_heatmap_data | GET request
2025-12-09 07:27:23 UTC | Bhumi | navigate | /comparison | GET request
2025-12-09 07:27:23 UTC | Bhumi | navigate | /metrics_json | GET request
2025-12-09 07:27:23 UTC | Bhumi | navigate | /gc_distribution_data | GET request
2025-12-09 07:27:23 UTC | Bhumi | navigate | /embedding_pca_data | GET request
2025-12-09 07:27:23 UTC | Bhumi | navigate | /correlation_heatmap_data | GET request
2025-12-09 07:27:39 UTC | Bhumi | navigate | /metrics | GET request
2025-12-09 07:28:16 UTC | Bhumi | navigate | /comparison | GET request
2025-12-09 07:28:16 UTC | Bhumi | navigate | /metrics_json | GET request
2025-12-09 07:28:16 UTC | Bhumi | navigate | /gc_distribution_data | GET request
2025-12-09 07:28:16 UTC | Bhumi | navigate | /embedding_pca_data | GET request
2025-12-09 07:28:17 UTC | Bhumi | navigate | /correlation_heatmap_data | GET request
2025-12-09 07:33:04 UTC | Bhumi | navigate | /verification | GET request
2025-12-09 07:33:04 UTC | Bhumi | view_verification | /verification | status=PASS
2025-12-09 07:33:31 UTC | Bhumi | navigate | /validation | GET request
2025-12-09 07:33:32 UTC | Bhumi | view_validation | /validation | status=PASS
2025-12-09 09:11:34 UTC | Bhumi | login_success | /login | User logged in
2025-12-09 09:11:38 UTC | Bhumi | navigate | /comparison | GET request
2025-12-09 09:11:38 UTC | Bhumi | navigate | /embedding_pca_data | GET request
2025-12-09 09:11:38 UTC | Bhumi | navigate | /gc_distribution_data | GET request
2025-12-09 09:11:38 UTC | Bhumi | navigate | /metrics_json | GET request
2025-12-09 09:11:39 UTC | Bhumi | navigate | /correlation_heatmap_data | GET request
2025-12-09 09:11:46 UTC | Bhumi | navigate | /verification | GET request
2025-12-09 09:11:46 UTC | Bhumi | view_verification | /verification | status=PASS
2025-12-10 07:06:22 UTC | himanshu1001 | navigate | /comparison | GET request
2025-12-10 07:06:22 UTC | himanshu1001 | navigate | /metrics_json | GET request
2025-12-10 07:06:22 UTC | himanshu1001 | navigate | /gc_distribution_data | GET request
2025-12-10 07:06:22 UTC | himanshu1001 | navigate | /embedding_pca_data | GET request
2025-12-10 07:06:23 UTC | himanshu1001 | navigate | /correlation_heatmap_data | GET request
2025-12-10 07:08:33 UTC | himanshu1001 | navigate | /correlation_heatmap_data | GET request
2025-12-10 07:09:26 UTC | himanshu1001 | navigate | /comparison | GET request
2025-12-10 07:09:26 UTC | himanshu1001 | navigate | /metrics_json | GET request
2025-12-10 07:09:26 UTC | himanshu1001 | navigate | /gc_distribution_data | GET request
2025-12-10 07:09:26 UTC | himanshu1001 | navigate | /embedding_pca_data | GET request
2025-12-10 07:09:27 UTC | himanshu1001 | navigate | /correlation_heatmap_data | GET request
2025-12-10 07:12:00 UTC | himanshu1001 | navigate | /comparison | GET request
